Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
533,1,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,m,,
533,2,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,m,,
533,3,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,f,,
533,4,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,m,,
533,5,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,f,,
533,6,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,m,,
533,7,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,m,,
533,8,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,m,,
533,9,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,m,,
533,10,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,f,,
533,11,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,f,,
533,12,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,f,,
533,13,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,f,,
533,14,The Wilderness (W),2020-07-14,Hymenoptera,Ichneumonidae,,f,,
533,15,The Wilderness (W),2020-07-14,,Dolichopodidae,,m,,
533,16,The Wilderness (W),2020-07-14,,Anthomyiidae,,f,,
533,17,The Wilderness (W),2020-07-14,,Lauxaniidae,Minettia fasciata,,,
533,18,The Wilderness (W),2020-07-14,,Muscidae,Hebecnema sp,f,,
533,19,The Wilderness (W),2020-07-14,,Fanniidae,Fannia sp,f,,
533,20,The Wilderness (W),2020-07-14,,Fanniidae,Fannia sp,f,,
533,21,The Wilderness (W),2020-07-14,,Anthomyiidae,,m,,
533,22,The Wilderness (W),2020-07-14,,Fanniidae,Fannia sp,m,,
533,23,The Wilderness (W),2020-07-14,,Fanniidae,Fannia sp,m,,
533,24,The Wilderness (W),2020-07-14,,Chloropidae,,,,
