Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
303,1,Quarry near Chazey Wood,2018-09-10,,Sarcophagidae,Sarcophaga sp,m,,
303,2,Quarry near Chazey Wood,2018-09-10,,Sarcophagidae,Sarcophaga sp,m,,
303,3,Quarry near Chazey Wood,2018-09-10,,Sarcophagidae,Sarcophaga sp,f,,
303,4,Quarry near Chazey Wood,2018-09-10,,Sarcophagidae,Sarcophaga sp,m,,
303,5,Quarry near Chazey Wood,2018-09-10,,Calliphoridae,Lucilia sp,m,,
303,6,Quarry near Chazey Wood,2018-09-10,,Calliphoridae,Lucilia sp,m,,
303,7,Quarry near Chazey Wood,2018-09-10,,Calliphoridae,Lucilia sp,f,,
303,8,Quarry near Chazey Wood,2018-09-10,,Calliphoridae,Lucilia sp,f,,
303,9,Quarry near Chazey Wood,2018-09-10,,Calliphoridae,Melinda sp,m,,
303,10,Quarry near Chazey Wood,2018-09-10,,Calliphoridae,Bellardia sp,m,,
303,11,Quarry near Chazey Wood,2018-09-10,,Sarcophagidae,Sarcophaga sp,f,,
303,12,Quarry near Chazey Wood,2018-09-10,,Muscidae,Phaonia sp,f,,
303,13,Quarry near Chazey Wood,2018-09-10,,Muscidae,Phaonia sp,f,,
303,14,Quarry near Chazey Wood,2018-09-10,,Muscidae,Helina sp,f,,
303,15,Quarry near Chazey Wood,2018-09-10,,Muscidae,Helina sp,f,,
303,16,Quarry near Chazey Wood,2018-09-10,,Muscidae,Helina sp,f,,
303,17,Quarry near Chazey Wood,2018-09-10,,Muscidae,Phaonia sp,f,,
303,18,Quarry near Chazey Wood,2018-09-10,,Muscidae,Helina sp,f,,
303,19,Quarry near Chazey Wood,2018-09-10,,Muscidae,Helina sp,f,,
303,20,Quarry near Chazey Wood,2018-09-10,,Muscidae,,f,,
303,21,Quarry near Chazey Wood,2018-09-10,,Calliphoridae,Melinda sp,f,,
303,22,Quarry near Chazey Wood,2018-09-10,,Muscidae,,m,,
303,23,Chazey Wood,2018-09-10,,Muscidae,,f,,
303,24,Chazey Wood,2018-09-10,,Sarcophagidae,Sarcophaga sp,m,,
303,25,Chazey Wood,2018-09-10,,Anthomyiidae,,f,,
303,26,Chazey Wood,2018-09-10,,Anthomyiidae,,f,,
303,27,Chazey Wood,2018-09-10,,Fanniidae,Fannia sp,f,,
303,28,Chazey Wood,2018-09-10,,Fanniidae,Fannia armata,m,,
303,29,Chazey Wood,2018-09-10,,Fanniidae,Fannia sp,f,,
303,30,Chazey Wood,2018-09-10,,Fanniidae,Fannia sp,f,,
303,31,Chazey Wood,2018-09-10,,Anthomyiidae,,m,,
303,32,Chazey Wood,2018-09-10,,Anthomyiidae,,m,,
303,33,Chazey Wood,2018-09-10,,Anthomyiidae,,m,,
303,34,Chazey Wood,2018-09-10,,Anthomyiidae,,m,,
303,35,Chazey Wood,2018-09-10,,Anthomyiidae,,m,,
303,36,Chazey Wood,2018-09-10,,Anthomyiidae,,m,,
303,37,Chazey Wood,2018-09-10,,Anthomyiidae,,m,,
303,38,Chazey Wood,2018-09-10,,Anthomyiidae,,m,,
303,39,Chazey Wood,2018-09-10,,Anthomyiidae,Anthomyia procellaris,m,,
303,40,Chazey Wood,2018-09-10,,Anthomyiidae,Anthomyia procellaris,m,,
303,41,Chazey Wood,2018-09-10,,Anthomyiidae,Anthomyia procellaris,m,,
303,42,Kings Meadow Tescos,2018-09-13,,Sarcophagidae,Sarcophaga sp,m,,
303,43,Kings Meadow Tescos,2018-09-13,,Tachinidae,Linnaemya sp,f,,
303,44,Kings Meadow Tescos,2018-09-13,,Tachinidae,Linnaemya sp,f,,
303,45,Kings Meadow Tescos,2018-09-13,,Tachinidae,Pales pavida,m,,
