Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
387,1,Whiteknights Park (E-FH),2019-08-11,,Sarcophagidae,Sarcophaga subvicina,m,"Pape, 1987",
387,2,Whiteknights Park (E-FH),2019-08-11,,Sarcophagidae,Sarcophaga variegata,m,"Pape, 1987",
387,3,Whiteknights Park (E-FH),2019-08-11,,Calliphoridae,Pollenia rudis,m,"Rognes, 1991",
387,4,Whiteknights Park (E-FH),2019-08-11,,Calliphoridae,Lucilia caesar,m,"Rognes, 1991",
387,5,Whiteknights Park (E-FH),2019-08-11,,Empididae,Empis sp,m,,
387,6,Whiteknights Park (E-FH),2019-08-11,,Tachinidae,Eriothrix rufomaculata,m,"Belshaw, 1993 +v5c updates",
387,7,Whiteknights Park (E-FH),2019-08-11,,Tachinidae,Eriothrix rufomaculata,f,"Belshaw, 1993 +v5c updates",
387,8,Whiteknights Park (E-FH),2019-08-11,,Tachinidae,Thelaira solivaga,f,"Belshaw, 1993 +v5c updates",
387,9,Whiteknights Park (E-FH),2019-08-11,,Sciomyzidae,Tetanocera elata,f,"Rozkosny, 1984",
387,10,Whiteknights Park (E-FH),2019-08-11,,Anthomyiidae,Botanophila brunneilinea,m,"Ackland et al draft keys, 2017",
387,11,Whiteknights Park (E-FH),2019-08-11,,Sarcophagidae,Sarcophaga haemorrhoa,m,"Pape, 1987",As Heteronychia haemorrhoa
387,12,Whiteknights Park (E-FH),2019-08-11,,Sarcophagidae,Blaesoxipha pygmaea,f,"Pape, 1987",
387,13,Whiteknights Park (E-FH),2019-08-11,,Anthomyiidae,,f,,
387,14,Whiteknights Park (E-FH),2019-08-11,Hymenoptera,Ichneumonidae,,m,,
387,15,Whiteknights Park (E-FH),2019-08-11,,Anthomyiidae,Botanophila striolata,m,"Ackland et al draft keys, 2017",
387,16,Whiteknights Park (E-FH),2019-08-11,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
387,17,Whiteknights Park (E-FH),2019-08-11,,Lauxaniidae,Minettia fasciata,,,
387,18,Whiteknights Park (E-FH),2019-08-11,,Anthomyiidae,,f,,
387,19,Whiteknights Park (E-FH),2019-08-11,,Calliphoridae,Melanomya nana,m,"Rognes, 1991",
387,20,Whiteknights Park (W),2019-08-11,,Tachinidae,Thelaira solivaga,m,"Belshaw, 1993 +v5c updates",
387,21,Whiteknights Park (W),2019-08-11,,Tachinidae,Thelaira solivaga,m,"Belshaw, 1993 +v5c updates",
387,22,Whiteknights Park (W),2019-08-11,,Tachinidae,Thelaira solivaga,m,"Belshaw, 1993 +v5c updates",
387,23,Whiteknights Park (W),2019-08-11,,Asilidae,Eutolmus rufibarbis,m,"Stubbs & Drake, 2001",Abdomen greasy
387,24,Whiteknights Park (W),2019-08-11,,Asilidae,Eutolmus rufibarbis,m,"Stubbs & Drake, 2001",
387,25,Whiteknights Park (W),2019-08-11,,Asilidae,Eutolmus rufibarbis,m,"Stubbs & Drake, 2001",Abdomen greasy
387,26,Whiteknights Park (W),2019-08-11,,Tachinidae,Sturmia bella,m,"Belshaw, 1993 +v5c updates",
387,27,Whiteknights Park (W),2019-08-11,,Tachinidae,Carcelia lucorum,m,"Belshaw, 1993 +v5c updates",
387,28,Whiteknights Park (W),2019-08-11,,Calliphoridae,Pollenia augustigena,m,"Rognes, 1991",
387,29,Whiteknights Park (W),2019-08-11,,Calliphoridae,Pollenia rudis,m,"Rognes, 1991",
387,30,Whiteknights Park (W),2019-08-11,,Muscidae,Morellia simplex,m,"Fonseca, 1968",
387,31,Whiteknights Park (W),2019-08-11,Hymenoptera,Vespidae,Ancistrocerus gazella,f,"Archer, 2014",
387,32,Whiteknights Park (W),2019-08-11,,Tachinidae,Thelaira solivaga,m,"Belshaw, 1993 +v5c updates",
387,33,Whiteknights Park (W),2019-08-11,,Sarcophagidae,Sarcophaga subvicina,m,"Pape, 1987",
387,34,Whiteknights Park (W),2019-08-11,,Calliphoridae,Pollenia rudis,m,"Rognes, 1991",
387,35,Whiteknights Park (W),2019-08-11,,Sarcophagidae,Sarcophaga haemorrhoa,m,"Pape, 1987",As Heteronychia haemorrhoa
387,36,Whiteknights Park (W),2019-08-11,,Sarcophagidae,Sarcophaga sp,f,"Pape, 1987",
387,37,Whiteknights Park (W),2019-08-11,,Calliphoridae,Pollenia augustigena,f,"Rognes, 1991",
387,38,Whiteknights Park (W),2019-08-11,,Syrphidae,Sphaerophoria scripta,m,"Stubbs & Falk, 2002",
387,39,Whiteknights Park (W),2019-08-11,,Anthomyiidae,,f,,
387,40,Whiteknights Park (W),2019-08-11,,Anthomyiidae,,f,,
387,41,Whiteknights Park (W),2019-08-11,,Sarcophagidae,Sarcophaga haemorrhoa,m,"Pape, 1987",As Heteronychia haemorrhoa
387,42,Whiteknights Park (W),2019-08-11,,Sarcophagidae,Sarcophaga haemorrhoa,m,"Pape, 1987",As Heteronychia haemorrhoa
