Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
287,1,Whiteknights Park (W),2018-07-08,,Calliphoridae,Pollenia sp,m,,
287,2,Whiteknights Park (W),2018-07-08,,Tachinidae,Exorista sp,m,,
287,3,Whiteknights Park (W),2018-07-08,,Muscidae,Muscina levida,m,,
287,4,Whiteknights Park (W),2018-07-08,,Muscidae,Phaonia sp,f,,
287,5,Whiteknights Park (W),2018-07-08,,Muscidae,Helina sp,f,,
287,6,Whiteknights Park (W),2018-07-08,,Muscidae,Helina sp,f,,
287,7,Whiteknights Park (W),2018-07-08,,Asilidae,Leptogaster cylindrica,f,"Stubbs & Drake, 2001",
287,8,Whiteknights Park (W),2018-07-08,,Dolichopodidae,,f,,
287,9,Whiteknights Park (W),2018-07-08,,Anthomyiidae,,m,,
287,10,Whiteknights Park (W),2018-07-08,,Tachinidae,Siphona sp,,,
287,11,Whiteknights Park (W),2018-07-08,,Anthomyiidae,,m,,
287,12,Whiteknights Park (W),2018-07-08,,Lauxaniidae,Minettia longipennis,,,
287,13,Whiteknights Park (W),2018-07-08,,Lauxaniidae,Minettia fasciata,,,
287,14,Whiteknights Park (W),2018-07-08,,Lauxaniidae,Minettia fasciata,,,
287,15,Whiteknights Park (W),2018-07-08,,Lauxaniidae,Minettia fasciata,,,
287,16,Whiteknights Park (W),2018-07-08,,Tachinidae,Siphona sp,,,
287,17,Whiteknights Park (W),2018-07-08,,Rhinophoridae,Rhinophora lepida,f,,
287,18,Whiteknights Park (W),2018-07-08,,Sphaeroceridae,,f,,
287,19,Whiteknights Park (W),2018-07-08,,Tephritidae,Anomoia permunda,m,,
287,20,Whiteknights Park (W),2018-07-08,,Tephritidae,,m,,
287,21,Whiteknights Park (W),2018-07-08,,Opomyzidae,Opomyza petrei,f,"Drake, 1993",
287,22,Whiteknights Park (W),2018-07-08,,Opomyzidae,Opomyza germinationis,m,"Drake, 1993",
287,23,Whiteknights Park (W),2018-07-08,,Chloropidae,Meromyza sp,,,
287,24,Whiteknights Park (W),2018-07-08,,Chloropidae,Meromyza sp,,,
287,25,Whiteknights Park (W),2018-07-08,,Muscidae,Coenosia sp,,,
287,26,Whiteknights Park (W),2018-07-08,,Opomyzidae,Opomyza petrei,m,"Drake, 1993",
287,27,Whiteknights Park (W),2018-07-08,,Dolichopodidae,,f,,
287,28,Whiteknights Park (W),2018-07-08,,Agromyzidae,,,,
287,29,Whiteknights Park (W),2018-07-08,,Sphaeroceridae,,m,,
287,30,The Wilderness (W),2018-07-08,,Bombyliidae,Villa cingulata,f,"Stubbs & Drake, 2001",
287,31,The Wilderness (W),2018-07-08,,Tachinidae,Dexiosoma caninum,m,,
287,32,The Wilderness (W),2018-07-08,,Calliphoridae,Bellardia sp,m,,
287,33,The Wilderness (W),2018-07-08,,Rhinophoridae,Rhinophora lepida,m,,33+34 in cop
287,34,The Wilderness (W),2018-07-08,,Rhinophoridae,Rhinophora lepida,f,,33+34 in cop
287,35,The Wilderness (W),2018-07-08,,Muscidae,Hebecnema sp,m,,
287,36,The Wilderness (W),2018-07-08,,Dolichopodidae,,m,,
287,37,The Wilderness (W),2018-07-08,,Dolichopodidae,,m,,
287,38,The Wilderness (W),2018-07-08,,Rhagionidae,Chrysopilus asiliformis,m,"Stubbs & Drake, 2001",
287,39,The Wilderness (W),2018-07-08,,Tachinidae,,m,,
287,40,The Wilderness (W),2018-07-08,,Muscidae,Graphomya maculata,f,,
287,41,The Wilderness (W),2018-07-08,,Muscidae,Graphomya maculata,m,,
287,42,The Wilderness (W),2018-07-08,,Calliphoridae,Lucilia caesar,m,,
287,43,The Wilderness (W),2018-07-08,,Calliphoridae,Pollenia sp,m,,
287,44,The Wilderness (W),2018-07-08,,Calliphoridae,Pollenia sp,f,,
287,45,The Wilderness (W),2018-07-08,,Muscidae,Phaonia sp,f,,
287,46,The Wilderness (W),2018-07-08,,Muscidae,Muscina levida,m,,
287,47,The Wilderness (W),2018-07-08,,Calliphoridae,Bellardia sp,m,,
287,48,The Wilderness (W),2018-07-08,,Muscidae,Morellia aenescens,m,,
287,49,The Wilderness (W),2018-07-08,,Muscidae,Morellia aenescens,m,,
287,50,The Wilderness (W),2018-07-08,,Muscidae,Morellia aenescens,m,,
287,51,The Wilderness (W),2018-07-08,,Muscidae,Morellia aenescens,m,,
287,52,The Wilderness (W),2018-07-08,,Muscidae,Morellia aenescens,m,,
287,53,The Wilderness (W),2018-07-08,,Sarcophagidae,Sarcophaga sp,m,,
287,54,The Wilderness (W),2018-07-08,,Calliphoridae,Melinda sp,m,,
287,55,The Wilderness (W),2018-07-08,,Calliphoridae,Melinda sp,m,,
287,56,The Wilderness (W),2018-07-08,,Calliphoridae,Pollenia sp,m,,
