Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
136,1,Whiteknights Park (W),2016-05-13,,Anthomyiidae,,f,,
136,2,Whiteknights Park (W),2016-05-13,,Anthomyiidae,,m,,
136,3,Whiteknights Park (W),2016-05-13,,Anthomyiidae,,m,,
136,4,Whiteknights Park (W),2016-05-13,,Anthomyiidae,,m,,
136,5,Whiteknights Park (W),2016-05-13,,Anthomyiidae,,m,,
136,6,Whiteknights Park (W),2016-05-13,,Fanniidae,,m,,
136,7,Whiteknights Park (W),2016-05-13,,Fanniidae,,f,,
136,8,Whiteknights Park (W),2016-05-13,,Fanniidae,,m,,
136,9,Whiteknights Park (W),2016-05-13,,Muscidae,Coenosia sp,f,,
136,10,Whiteknights Park (W),2016-05-13,,Sciomyzidae,Pherbellia sp,f,,
136,11,Whiteknights Park (W),2016-05-13,,Tachinidae,Siphona sp,,,
136,12,Whiteknights Park (W),2016-05-13,,Chaoboridae,,f,,
136,13,Whiteknights Park (W),2016-05-13,,Tephritidae,Tephritis neesi,f,,
136,14,Whiteknights Park (W),2016-05-13,,Tephritidae,Tephritis neesi,m,,
136,15,Whiteknights Park (W),2016-05-13,,Tephritidae,Tephritis neesi,m,,
136,16,Whiteknights Park (W),2016-05-13,,Muscidae,Coenosia sp,m,,
136,17,Whiteknights Park (W),2016-05-13,,Muscidae,Coenosia sp,f,,
136,18,Whiteknights Park (W),2016-05-13,,Ephydridae,,f,,
136,19,Whiteknights Park (W),2016-05-13,,Ephydridae,,f,,
136,20,Whiteknights Park (W),2016-05-13,,Ephydridae,,m,,
136,21,Whiteknights Park (W),2016-05-13,,Lonchopteridae,Lonchoptera sp,f,,
136,22,Whiteknights Park (W),2016-05-13,,Lonchopteridae,Lonchoptera sp,f,,
136,23,Whiteknights Park (W),2016-05-13,,Lonchopteridae,Lonchoptera sp,m,,
136,24,Whiteknights Park (W),2016-05-13,,Chironomidae,,m,,
136,25,Whiteknights Park (E-FH),2016-05-13,,Anthomyiidae,,f,,
136,26,Whiteknights Park (E-FH),2016-05-13,,Anthomyiidae,,f,,
136,27,Whiteknights Park (E-FH),2016-05-13,,Rhagionidae,Chrysopilus cristatus,m,,
136,28,Whiteknights Park (E-FH),2016-05-13,,Scathophagidae,Scathophaga stercoraria,f,,
136,29,Whiteknights Park (E-FH),2016-05-13,,Scathophagidae,Scathophaga stercoraria,m,,
136,30,Whiteknights Park (E-FH),2016-05-13,,Muscidae,,m,,
136,31,Whiteknights Park (E-FH),2016-05-13,,Sciomyzidae,,f,,
136,32,Whiteknights Park (E-FH),2016-05-13,,Syrphidae,Melanogaster sp,m,,
136,33,Whiteknights Park (E-FH),2016-05-13,,Tephritidae,Tephritis neesi,f,,
136,34,Whiteknights Park (E-FH),2016-05-13,,Tephritidae,Tephritis neesi,m,,
136,35,Whiteknights Park (E-FH),2016-05-13,,Ephydridae,,m,,
136,36,Whiteknights Park (E-FH),2016-05-13,,Chironomidae,,m,,
