Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
926,1,Whiteknights Park (W),2023-07-17,,Sarcophagidae,Sarcophaga sp,m,,
926,2,Whiteknights Park (W),2023-07-17,,Sarcophagidae,Sarcophaga sp,m,,
926,3,Whiteknights Park (W),2023-07-17,,Sarcophagidae,Sarcophaga sp,m,,
926,4,Whiteknights Park (W),2023-07-17,,Sarcophagidae,Sarcophaga sp,f,,
926,5,Whiteknights Park (W),2023-07-17,,Sarcophagidae,Sarcophaga dissimilis,m,,
926,6,Whiteknights Park (W),2023-07-17,,Sarcophagidae,Sarcophaga dissimilis,m,,
926,7,Whiteknights Park (W),2023-07-17,,Sarcophagidae,Blaesoxipha sp,m,,
926,8,Whiteknights Park (W),2023-07-17,,Sarcophagidae,Blaesoxipha sp,m,,
926,9,Whiteknights Park (W),2023-07-17,,Calliphoridae,Pollenia sp,m,,
926,10,Whiteknights Park (W),2023-07-17,,Anthomyiidae,,f,,
926,11,Whiteknights Park (W),2023-07-17,,Calliphoridae,Lucilia sericata,m,,
926,12,Whiteknights Park (W),2023-07-17,,Calliphoridae,Lucilia sericata,m,,
926,13,Whiteknights Park (W),2023-07-17,,Rhagionidae,Chrysopilus cristata,m,,
926,14,Whiteknights Park (W),2023-07-17,,Tabanidae,Haematopota pluvialis,f,,
926,15,Whiteknights Park (W),2023-07-17,,Chloropidae,Meromyza sp,m,,
926,16,Whiteknights Park (W),2023-07-17,,Chloropidae,Meromyza sp,m,,
926,17,Whiteknights Park (E),2023-07-19,,Asilidae,,m,,
926,18,Whiteknights Park (E),2023-07-19,,Asilidae,,m,,
926,19,Whiteknights Park (E),2023-07-19,,Asilidae,,m,,
926,20,Whiteknights Park (E),2023-07-19,,Tachinidae,Voria ruralis,f,,
926,21,Whiteknights Park (E),2023-07-19,,Tachinidae,Eriothrix rufomaculata,m,,
926,22,Whiteknights Park (E),2023-07-19,,Sarcophagidae,Sarcophaga sp,m,,
926,23,Whiteknights Park (E),2023-07-19,,Sarcophagidae,Sarcophaga sp,f,,
926,24,Whiteknights Park (E),2023-07-19,,Sarcophagidae,Sarcophaga sp,m,,
926,25,Whiteknights Park (E),2023-07-19,,Sarcophagidae,Sarcophaga sp,m,,
926,26,Whiteknights Park (E),2023-07-19,,Sarcophagidae,Sarcophaga sp,m,,
926,27,Whiteknights Park (E),2023-07-19,,Calliphoridae,Lucilia caesar,m,,
926,28,Whiteknights Park (E),2023-07-19,,Calliphoridae,Lucilia sp,f,,
