Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
53,1,Field below Chazey Wood,2014-10-19,,Calliphoridae,Pollenia augustigena,f,"Rognes, 1991",
53,2,Field below Chazey Wood,2014-10-19,,Calliphoridae,Pollenia cf labialis,m,"Rognes, 1991",Greasy
53,3,Field below Chazey Wood,2014-10-19,,Muscidae,Helina evecta,f,"Fonseca, 1968",As Helina laetifica
53,4,Field below Chazey Wood,2014-10-19,,Muscidae,Helina evecta,f,"Fonseca, 1968",As Helina laetifica
53,5,Field below Chazey Wood,2014-10-19,,Muscidae,Helina impuncta,f,"Fonseca, 1968",
53,6,Field below Chazey Wood,2014-10-19,,Muscidae,Hydrotaea cyrtoneurina,m,"Fonseca, 1968",Wings darkened
53,7,Field below Chazey Wood,2014-10-19,,Scathophagidae,Scathophaga stercoraria,f,"Ball, 2014",
53,8,Field below Chazey Wood,2014-10-19,,Syrphidae,Melanostoma scalare,f,,
53,9,Field below Chazey Wood,2014-10-19,,Syrphidae,Sphaerophoria scripta,m,,
53,10,Whiteknights Park (E),2014-10-26,,Lonchopteridae,Lonchoptera lutea,f,"Smith, 1969",
53,11,Whiteknights Park (E),2014-10-26,,Lonchopteridae,Lonchoptera lutea,f,"Smith, 1969",
53,12,Whiteknights Park (E),2014-10-26,,Tachinidae,Carcelia lucorum,f,"Belshaw, 1993 +v5c updates",
53,13,Whiteknights Park (E),2014-10-26,,Tachinidae,Pales pavida,f,"Belshaw, 1993 +v5c updates",
53,14,Whiteknights Park (E),2014-10-26,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
53,15,Whiteknights Park (E),2014-10-26,,Tachinidae,Ramonda spathulata,f,"Belshaw, 1993 +v5c updates",
53,16,Whiteknights Park (E),2014-10-26,,Tachinidae,Siphona geniculata,m,"Belshaw, 1993 +v5c updates",
53,17,Whiteknights Park (E),2014-10-26,,Tachinidae,Siphona geniculata,m,"Belshaw, 1993 +v5c updates",
53,18,Whiteknights Park (E),2014-10-26,,Tachinidae,Siphona geniculata,f,"Belshaw, 1993 +v5c updates",
53,19,Whiteknights Park (E),2014-10-26,,Drosophilidae,,,,
53,20,Whiteknights Park (E),2014-10-26,,Scathophagidae,Scathophaga furcata,m,"Ball, 2014",
53,21,Whiteknights Park (E),2014-10-26,,Scathophagidae,Scathophaga stercoraria,f,"Ball, 2014",
