Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
323,1,Whiteknights Park (E-FH),2019-03-09,,Anthomyiidae,,f,,
323,2,Whiteknights Park (E-FH),2019-03-09,,Scatopsidae,,,,
323,3,Whiteknights Park (E-FH),2019-03-09,,Scatopsidae,,,,
323,4,Whiteknights Park (E-FH),2019-03-09,,Lonchopteridae,Lonchoptera sp,f,,
323,5,Whiteknights Park (E-FH),2019-03-09,,Sphaeroceridae,,,,
323,6,Whiteknights Park (E),2019-03-09,,Muscidae,Phaonia sp,m,,
323,7,Whiteknights Park (E),2019-03-09,,Anthomyiidae,,f,,
323,8,Whiteknights Park (E),2019-03-09,,Anthomyiidae,,f,,
323,9,Whiteknights Park (E),2019-03-09,,Anthomyiidae,,f,,
323,10,Whiteknights Park (E),2019-03-09,,Mycetophilidae,,,,
323,11,Whiteknights Park (E),2019-03-09,,Nematocera,,f,,
323,12,Whiteknights Park (E),2019-03-09,,Sphaeroceridae,,,,
323,13,Whiteknights Park (E),2019-03-09,,Sphaeroceridae,,,,
323,14,Whiteknights Park (E),2019-03-09,,Sphaeroceridae,,,,
323,15,Whiteknights Park (E),2019-03-09,,Anthomyiidae,,m,,
323,16,Whiteknights Park (E),2019-03-09,,Anthomyiidae,,m,,
323,17,Whiteknights Park (E),2019-03-09,Hymenoptera,Cynipidae,,f,,
323,18,Whiteknights Park (E),2019-03-09,,Drosophilidae,,,,
323,19,Whiteknights Park (E),2019-03-09,,Drosophilidae,,,,
323,20,Whiteknights Park (E),2019-03-09,,Drosophilidae,,,,
323,21,Whiteknights Park (E),2019-03-09,,Drosophilidae,,,,
323,22,Whiteknights Park (E),2019-03-09,,Drosophilidae,,,,
