Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
790,1,Chazey Wood,2021-09-05,,Tachinidae,Tachina fera,f,,
790,2,Chazey Wood,2021-09-05,,Asilidae,,f,,
790,3,Chazey Wood,2021-09-05,,Asilidae,,m,,
790,4,Chazey Wood,2021-09-05,Mecoptera,Panorpidae,Panorpa sp,f,,
790,5,Chazey Wood,2021-09-05,Hymenoptera,Ichneumonidae,,m,,
790,6,Chazey Wood,2021-09-05,Hymenoptera,Ichneumonidae,,m,,
790,7,Chazey Wood,2021-09-05,,Sarcophagidae,Sarcophaga sp,m,,
790,8,Chazey Wood,2021-09-05,,Sarcophagidae,Sarcophaga sp,m,,
790,9,Chazey Wood,2021-09-05,,Sarcophagidae,Sarcophaga sp,f,,
790,10,Chazey Wood,2021-09-05,,Sarcophagidae,Sarcophaga sp,f,,
790,11,Chazey Wood,2021-09-05,,Sarcophagidae,Sarcophaga sp,f,,
790,12,Chazey Wood,2021-09-05,,Calliphoridae,Lucilia sp,f,,
790,13,Chazey Wood,2021-09-05,,Calliphoridae,Lucilia sp,f,,
790,14,Chazey Wood,2021-09-05,,Calliphoridae,Pollenia sp,f,,
790,15,Chazey Wood,2021-09-05,,Muscidae,Coenosia tigrina,f,,
790,16,Chazey Wood,2021-09-05,,Anthomyiidae,,f,,
790,17,Chazey Wood,2021-09-05,,Drosophilidae,,f,,
790,18,Chazey Wood,2021-09-05,Hymenoptera,Cynipidae,,f,,
