Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
44,1,Whiteknights Park (W),2014-08-30,,Tachinidae,Exorista sp,f,"Belshaw, 1993 +v5c updates",
44,2,Whiteknights Park (W),2014-08-30,,Tachinidae,Eriothrix rufomaculata,m,"Belshaw, 1993 +v5c updates",
44,3,Whiteknights Park (W),2014-08-30,,Muscidae,,f,,
44,4,Whiteknights Park (W),2014-08-30,,Muscidae,,,,
44,5,Whiteknights Park (W),2014-08-30,,Anthomyiidae,Anthomyia sp,m,,
44,6,Whiteknights Park (W),2014-08-30,,Muscoidea,,m,,
44,7,Whiteknights Park (W),2014-08-30,,Empididae,Rhamphomyia sp,,,
44,8,Whiteknights Park (W),2014-08-30,,Empididae,Rhamphomyia sp,,,
44,9,Whiteknights Park (W),2014-08-30,,Lauxaniidae,,,,
44,10,Whiteknights Park (W),2014-08-30,,Conopidae,,,,
44,11,Whiteknights Park (W),2014-08-30,,Syrphidae,Xanthogramma pedissequum,m,,
44,12,Whiteknights Park (W),2014-08-30,,Syrphidae,Xylota sp,,,
44,13,Whiteknights Park (W),2014-08-30,,Syrphidae,,m,,
44,14,Whiteknights Park (W),2014-08-30,,Syrphidae,,m,,
44,15,Whiteknights Park (W),2014-08-30,,Syrphidae,,m,,
44,16,Whiteknights Park (W),2014-08-30,,Syrphidae,Melanogaster sp,f,,
44,17,Whiteknights Park (W),2014-08-30,,Syrphidae,Melanogaster sp,f,,
44,18,Chazey Wood,2014-08-31,,Muscidae,,f,,
44,19,Chazey Wood,2014-08-31,,Muscidae,,m,,
44,20,Chazey Wood,2014-08-31,,Muscidae,,m,,
44,21,Chazey Wood,2014-08-31,,Muscidae,,f,,
44,22,Chazey Wood,2014-08-31,,Muscidae,,f,,
44,23,Chazey Wood,2014-08-31,,Muscidae,,f,,
44,24,Chazey Wood,2014-08-31,,Muscidae,,f,,
44,25,Chazey Wood,2014-08-31,,Muscidae,,f,,
44,26,Chazey Wood,2014-08-31,,Muscidae,Eudasyphora cyanella,f,,
44,27,Chazey Wood,2014-08-31,,Lauxaniidae,,,,
44,28,Field West of Chazey Wood,2014-08-31,,Tachinidae,Sturmia bella,f,"Belshaw, 1993 +v5c updates",
44,29,Field below Chazey Wood,2014-08-31,,Tachinidae,Nowickia ferox,f,"Belshaw, 1993 +v5c updates",
44,30,Field below Chazey Wood,2014-08-31,,Tachinidae,Nowickia ferox,f,"Belshaw, 1993 +v5c updates",
44,31,Field below Chazey Wood,2014-08-31,,Tachinidae,Eurithia anthophila,f,"Belshaw, 1993 +v5c updates",
44,32,Field below Chazey Wood,2014-08-31,,Muscoidea,,,,
44,33,Field West of Chazey Wood,2014-08-31,,Conopidae,Thecophora atra,f,"Clements, 1995, also van Veen 28.03.2010",
44,34,Field below Chazey Wood,2014-08-31,,Muscidae,,m,,
44,35,Field below Chazey Wood,2014-08-31,,Tachinidae,Linnaemya picta,m,"Belshaw, 1993 +v5c updates",
44,36,Field below Chazey Wood,2014-08-31,,Tachinidae,Pales pavida,f,"Belshaw, 1993 +v5c updates",
44,37,Field below Chazey Wood,2014-08-31,,Tachinidae,Winthemia quadripustulata,m,"Belshaw, 1993 +v5c updates",
44,38,Field below Chazey Wood,2014-08-31,,Sarcophagidae,Sarcophaga sp,m,,
44,39,Field below Chazey Wood,2014-08-31,,Calliphoridae,Bellardia sp,m,,
44,40,Field below Chazey Wood,2014-08-31,,Calliphoridae,Bellardia sp,m,,
44,41,Field below Chazey Wood,2014-08-31,,Tachinidae,Eurithia anthophila,f,"Belshaw, 1993 +v5c updates",
44,42,Field below Chazey Wood,2014-08-31,,Calliphoridae,Lucilia sp,f,,
44,43,Field below Chazey Wood,2014-08-31,,Tachinidae,Sturmia bella,f,"Belshaw, 1993 +v5c updates",
44,44,Field below Chazey Wood,2014-08-31,,Syrphidae,Rhingia campestris,m,,
44,45,Field below Chazey Wood,2014-08-31,,Asilidae,,m,,
