Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
654,1,Thames Valley Park,2021-03-14,,Scathophagidae,Scathophaga stercoraria,m,"Ball, 2014",
654,2,Thames Valley Park,2021-03-14,,Anthomyiidae,Egle ciliata,m,"Ackland et al draft keys, 2017",
654,3,Thames Valley Park,2021-03-14,,Anthomyiidae,Egle ciliata,m,"Ackland et al draft keys, 2017",
654,4,Thames Valley Park,2021-03-14,,Anthomyiidae,Egle ciliata,m,"Ackland et al draft keys, 2017",
654,5,Thames Valley Park,2021-03-14,,Sciomyzidae,Pherbellia ventralis,m,"Rozkosny, 1984",
654,6,Thames Valley Park,2021-03-14,,Lauxaniidae,Trigonometopus frontalis,m,"Schacht et al, 2004 translation of Shatalkin, 2000",
654,7,Thames Valley Park,2021-03-14,Araneae,Tetragnathidae,Tetragnatha sp,f,,Has parasitoid larva
654,8,Thames Valley Park,2021-03-14,,Muscidae,Lispocephala erythrocera,f,"Fonseca, 1968",
654,9,Thames Valley Park,2021-03-14,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968",
654,10,Thames Valley Park,2021-03-14,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968",
654,11,Thames Valley Park,2021-03-14,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968",
654,12,Thames Valley Park,2021-03-14,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968",
654,13,Thames Valley Park,2021-03-14,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968",
654,14,Thames Valley Park,2021-03-14,,Lonchopteridae,Lonchoptera lutea,m,"Smith, 1969",
654,15,Thames Valley Park,2021-03-14,,Agromyzidae,,f,,
654,16,Thames Valley Park,2021-03-14,,Agromyzidae,,m,,
654,17,Thames Valley Park,2021-03-14,,Agromyzidae,,m,,
654,18,Thames Valley Park,2021-03-14,,Drosophilidae,,,,
654,19,Thames Valley Park,2021-03-14,,Drosophilidae,,,,
654,20,Whiteknights Park (W),2021-03-15,,Sphaeroceridae,Copromyza stercoraria,f,"Pitkin, 1988",
654,21,Whiteknights Park (W),2021-03-15,,Muscidae,Lispocephala erythrocera,f,"Fonseca, 1968",
654,22,Whiteknights Park (W),2021-03-15,,Muscidae,Lispocephala erythrocera,f,"Fonseca, 1968",
654,23,Whiteknights Park (W),2021-03-15,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968",
654,24,Whiteknights Park (W),2021-03-15,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968",
654,25,Whiteknights Park (W),2021-03-15,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968",
654,26,Whiteknights Park (E),2021-03-16,,Calliphoridae,Pollenia sp,m,,
654,27,Whiteknights Park (E),2021-03-16,,Calliphoridae,Pollenia sp,f,,
654,28,Whiteknights Park (E),2021-03-16,,Calliphoridae,Pollenia sp,m,,
654,29,Whiteknights Park (E),2021-03-16,,Calliphoridae,Pollenia sp,m,,
654,30,Whiteknights Park (E),2021-03-16,,Calliphoridae,Pollenia sp,m,,
654,31,Whiteknights Park (E),2021-03-16,,Calliphoridae,Pollenia sp,m,,
654,32,Whiteknights Park (E),2021-03-16,,Calliphoridae,Pollenia sp,m,,
654,33,Whiteknights Park (E),2021-03-16,,Calliphoridae,Pollenia sp,m,,
654,34,Whiteknights Park (E),2021-03-16,,Muscidae,Eudasyphora cyanella,f,,
654,35,Whiteknights Park (E),2021-03-16,,Muscidae,Phaonia subventa,m,,
654,36,Whiteknights Park (E),2021-03-16,,Muscidae,Helina evecta,m,,
654,37,Whiteknights Park (E),2021-03-16,,Muscidae,Helina evecta,m,,
654,38,Whiteknights Park (E),2021-03-16,,Muscidae,Helina evecta,f,,
654,39,Whiteknights Park (E),2021-03-16,,Anthomyiidae,,f,,
654,40,Whiteknights Park (E),2021-03-16,,Simuliidae,Simulium sp,,,
654,41,Whiteknights Park (E),2021-03-16,,Muscidae,Lispocephala brachialis,m,,
654,42,Whiteknights Park (E),2021-03-16,,Anthomyiidae,,f,,
