Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
645,1,Whiteknights Park (W),2021-01-22,,Chloropidae,,,,
645,2,Whiteknights Park (W),2021-01-22,,Trichoceridae,,m,,
645,3,Whiteknights Park (E),2021-01-22,,Trichoceridae,,m,,
645,4,Whiteknights Park (E),2021-01-22,,Anthomyiidae,,f,,
645,5,Whiteknights Park (E),2021-01-23,,Anthomyiidae,Mycophaga testacea,f,"Ackland et al draft keys, 2017",
645,6,Whiteknights Park (E),2021-01-23,,Calliphoridae,Calliphora vicina,m,"Rognes, 1991",
645,7,Whiteknights Park (E),2021-01-23,,Calliphoridae,Calliphora vicina,f,"Rognes, 1991",
645,8,Whiteknights Park (W),2021-01-23,,Muscidae,Phaonia tuguriorum,f,"Fonseca, 1968",As Phaonia signata
645,9,Whiteknights Park (W),2021-01-25,,Calliphoridae,Calliphora vicina,f,"Rognes, 1991",
645,10,Whiteknights Park (E),2021-01-25,,Calliphoridae,Calliphora vicina,m,"Rognes, 1991",
645,11,Whiteknights Park (E),2021-01-25,,Muscidae,Phaonia trimaculata,m,"Fonseca, 1968",
645,12,Whiteknights Park (E),2021-01-25,,Muscidae,Phaonia trimaculata,f,"Fonseca, 1968",
645,13,Whiteknights Park (E),2021-01-25,,Anthomyiidae,Hylemya sp,f,,
645,14,Whiteknights Park (E),2021-01-25,,Heleomyzidae,Heteromyza sp,f,"Gorodkov, 1989",
645,15,Whiteknights Park (E),2021-01-25,,Heleomyzidae,Heteromyza sp,f,"Gorodkov, 1989",
645,16,Whiteknights Park (E),2021-01-25,,Anthomyiidae,,f,,
645,17,Whiteknights Park (W),2021-01-28,,Calliphoridae,Calliphora vicina,m,"Rognes, 1991",
645,18,Whiteknights Park (W),2021-01-28,,Calliphoridae,Calliphora vicina,f,"Rognes, 1991",
645,19,Whiteknights Park (W),2021-01-28,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968; Gregor et al, 2016",
645,20,Whiteknights Park (W),2021-01-28,,Muscidae,Lispocephala erythrocera,m,"Fonseca, 1968; Gregor et al, 2016",
645,21,Whiteknights Park (W),2021-01-28,,Sphaeroceridae,,m,,
645,22,Whiteknights Park (E),2021-01-29,,Simuliidae,Simulium sp,,,
645,23,Whiteknights Park (E),2021-01-29,,Opomyzidae,Geomyza sp,f,,
645,24,Whiteknights Park (E),2021-01-29,,Muscidae,Phaonia subventa,f,"Fonseca, 1968",As Phaonia variegata
645,25,Whiteknights Park (E),2021-01-29,,Muscidae,Phaonia trimaculata,f,"Fonseca, 1968",
645,26,Whiteknights Park (E),2021-01-29,,Muscidae,Phaonia trimaculata,f,"Fonseca, 1968",
645,27,Whiteknights Park (E),2021-01-29,,Calliphoridae,Calliphora vicina,f,"Rognes, 1991",
645,28,Whiteknights Park (E),2021-01-29,,Calliphoridae,Calliphora vicina,f,"Rognes, 1991",
645,29,Thames Valley Park,2021-01-30,,Lonchopteridae,Lonchoptera sp,f,,
645,30,Thames Valley Park,2021-01-30,,Sciaridae,,f,,
645,31,Thames Valley Park,2021-01-30,,Agromyzidae,,m,,
645,32,Whiteknights Park (W),2021-01-31,,Sciomyzidae,,f,,
645,33,Whiteknights Park (E),2021-01-31,,Trichoceridae,,m,,
