Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
945,1,Whiteknights Park (E-FH),2023-08-17,,Heleomyzidae,,m,,
945,2,Whiteknights Park (E-FH),2023-08-17,,Heleomyzidae,,m,,
945,3,Whiteknights Park (E-FH),2023-08-17,,Calliphoridae,Melinda sp,m,,
945,4,Whiteknights Park (E-FH),2023-08-17,,Calliphoridae,Pollenia sp,m,,
945,5,Whiteknights Park (E-FH),2023-08-17,,Calliphoridae,Lucilia sp,f,,
945,6,Whiteknights Park (E-FH),2023-08-17,,Sarcophagidae,Sarcophaga dissimilis,m,,
945,7,Whiteknights Park (E-FH),2023-08-17,,Sarcophagidae,Sarcophaga sp,m,,
945,8,Whiteknights Park (E-FH),2023-08-17,,Sarcophagidae,Sarcophaga sp,f,,
945,9,Whiteknights Park (E-FH),2023-08-17,,Sarcophagidae,Sarcophaga dissimilis,m,,
945,10,Whiteknights Park (E-FH),2023-08-17,,Sarcophagidae,Sarcophaga sp,f,,
945,11,Whiteknights Park (E-FH),2023-08-17,,Anthomyiidae,Anthomyia sp,f,,
945,12,Whiteknights Park (E-FH),2023-08-17,,Anthomyiidae,,f,,
945,13,Whiteknights Park (E-FH),2023-08-17,,Anthomyiidae,Pegomya sp,m,,
945,14,Whiteknights Park (E-FH),2023-08-17,,Anthomyiidae,,f,,
945,15,Whiteknights Park (E-FH),2023-08-17,,Muscidae,Helina sp,f,,
945,16,Whiteknights Park (E-FH),2023-08-17,,Anthomyiidae,,f,,
945,17,Whiteknights Park (E-FH),2023-08-17,,Opomyzidae,Geomyza sp,f,,
945,18,Whiteknights Park (W),2023-08-17,,Asilidae,,m,,18+19 in cop
945,19,Whiteknights Park (W),2023-08-17,,Asilidae,,f,,18+19 in cop
