Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
307,1,The Wilderness (W),2018-09-16,,Tachinidae,Tachina fera,f,"Belshaw, 1993 +v5c updates",
307,2,The Wilderness (W),2018-09-16,,Tachinidae,Linnaemya picta,f,"Belshaw, 1993 +v5c updates",
307,3,The Wilderness (W),2018-09-16,,Tachinidae,Eumea linearicornis,f,"Belshaw, 1993 +v5c updates",
307,4,The Wilderness (W),2018-09-16,,Sarcophagidae,Sarcophaga sp,f,,
307,5,The Wilderness (W),2018-09-16,,Sarcophagidae,Sarcophaga sp,f,,
307,6,The Wilderness (W),2018-09-16,,Muscidae,Limnophora sp,f,,
307,7,The Wilderness (W),2018-09-16,,Muscidae,Helina sp,f,,
307,8,The Wilderness (W),2018-09-16,,Muscidae,Helina sp,f,,
307,9,The Wilderness (W),2018-09-16,,Muscidae,Graphomya maculata,f,,
307,10,The Wilderness (W),2018-09-16,,Scathophagidae,Norellisoma spinimanum,m,"Ball, 2014",
307,11,The Wilderness (W),2018-09-16,,Anthomyiidae,,f,,
307,12,The Wilderness (W),2018-09-16,,Anthomyiidae,Anthomyia plurinotata,f,,
307,13,The Wilderness (W),2018-09-16,,Sarcophagidae,Sarcophaga sp,m,,
307,14,The Wilderness (W),2018-09-16,,Anthomyiidae,,m,,
307,15,The Wilderness (W),2018-09-16,,Fanniidae,Fannia sp,m,,
307,16,The Wilderness (W),2018-09-16,,Fanniidae,Fannia sp,m,,
307,17,The Wilderness (W),2018-09-16,,Empididae,Rhamphomya sp,f,,
307,18,The Wilderness (W),2018-09-16,,Opomyzidae,Opomyza germinationis,f,"Drake, 1993",
307,19,The Wilderness (W),2018-09-16,,Opomyzidae,Opomyza germinationis,m,"Drake, 1993",
307,20,The Wilderness (W),2018-09-16,,Opomyzidae,Opomyza germinationis,f,"Drake, 1993",
307,21,The Wilderness (W),2018-09-16,,Opomyzidae,Opomyza germinationis,m,"Drake, 1993",
307,22,The Wilderness (W),2018-09-16,,Opomyzidae,Opomyza germinationis,f,"Drake, 1993",
307,23,The Wilderness (W),2018-09-16,,Dolichopididae,,m,,
307,24,The Wilderness (W),2018-09-16,,Dolichopididae,,m,,
307,25,The Wilderness (W),2018-09-16,,Dolichopididae,,m,,
307,26,The Wilderness (W),2018-09-16,,Muscidae,Coenosia agromyzina,f,,
307,27,The Wilderness (W),2018-09-16,,Muscidae,Coenosia agromyzina,f,,
307,28,The Wilderness (W),2018-09-16,,Muscidae,Coenosia sp,f,,
307,29,The Wilderness (W),2018-09-16,,Agromyzidae,,f,,
