Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
156,1,The Wilderness (W),2016-07-06,,Fanniidae,,f,,
156,2,The Wilderness (W),2016-07-06,,Fanniidae,,f,,
156,3,The Wilderness (W),2016-07-06,,Fanniidae,,f,,
156,4,The Wilderness (W),2016-07-06,,Anthomyiidae,,m,,
156,5,The Wilderness (W),2016-07-06,,Fanniidae,,f,,
156,6,The Wilderness (W),2016-07-06,,Fanniidae,,m,,
156,7,The Wilderness (W),2016-07-06,,Muscidae,Hebecnema sp,m,,
156,8,The Wilderness (W),2016-07-06,,Ephydridae,,f,,
156,9,The Wilderness (W),2016-07-06,,Muscidae,Coenosia sp,f,,
156,10,The Wilderness (W),2016-07-06,,Lauxaniidae,,,,
156,11,The Wilderness (W),2016-07-06,,Lauxaniidae,,,,
156,12,The Wilderness (W),2016-07-06,,Lauxaniidae,,,,
156,13,The Wilderness (W),2016-07-06,,Opomyzidae,Opomyza sp,m,,
156,14,The Wilderness (W),2016-07-06,,Opomyzidae,Opomyza sp,m,,
156,15,The Wilderness (W),2016-07-06,,???,,f,,
156,16,The Wilderness (W),2016-07-06,,Dolichopodidae,,m,,
156,17,The Wilderness (W),2016-07-06,,Dolichopodidae,,f,,
156,18,The Wilderness (W),2016-07-06,,Dolichopodidae,,m,,
156,19,The Wilderness (W),2016-07-06,,Dolichopodidae,,f,,
156,20,The Wilderness (W),2016-07-06,,Dolichopodidae,,m,,
156,21,The Wilderness (W),2016-07-06,,Dolichopodidae,,f,,
156,22,The Wilderness (W),2016-07-06,,Dolichopodidae,,f,,
156,23,The Wilderness (W),2016-07-06,,Agromyzidae,,,,
156,24,The Wilderness (W),2016-07-06,,Agromyzidae,,,,
156,25,The Wilderness (W),2016-07-06,,Agromyzidae,,,,
156,26,The Wilderness (W),2016-07-06,,Ephydridae,,f,,
156,27,The Wilderness (W),2016-07-06,,Agromyzidae,,,,
156,28,The Wilderness (E),2016-07-06,,Tachinidae,Dexiosoma caninum,,,
156,29,The Wilderness (E),2016-07-06,,Tachinidae,Dexiosoma caninum,,,
156,30,The Wilderness (E),2016-07-06,,Tachinidae,Dexiosoma caninum,,,
156,31,The Wilderness (E),2016-07-06,,Tachinidae,Dexiosoma caninum,,,
156,32,The Wilderness (E),2016-07-06,,Muscidae,,m,,
156,33,The Wilderness (E),2016-07-06,,Muscidae,,m,,
156,34,The Wilderness (E),2016-07-06,,Muscidae,,f,,
156,35,The Wilderness (E),2016-07-06,,Empididae,Empis sp,m,,
156,36,The Wilderness (E),2016-07-06,,Scathophagidae,Scathophaga stercoraria,f,,
156,37,The Wilderness (E),2016-07-06,,Anthomyiidae,Pegomya sp,m,,
156,38,The Wilderness (E),2016-07-06,,Anthomyiidae,Pegomya sp,m,,
156,39,The Wilderness (E),2016-07-06,,Anthomyiidae,Pegomya sp,m,,
156,40,The Wilderness (E),2016-07-06,,Anthomyiidae,,m,,
156,41,The Wilderness (E),2016-07-06,,Anthomyiidae,Anthomyia procellaris grp,m,,
156,42,The Wilderness (E),2016-07-06,,Anthomyiidae,Anthomyia procellaris grp,m,,
156,43,The Wilderness (E),2016-07-06,,Fanniidae,,f,,
156,44,The Wilderness (E),2016-07-06,,Lauxaniidae,Minettia longipennis,,,
156,45,The Wilderness (E),2016-07-06,,Fanniidae,,m,,
156,46,The Wilderness (E),2016-07-06,,Rhinophoridae,Rhinophora lepida,m,,
156,47,The Wilderness (E),2016-07-06,,Dolichopodidae,,m,,
156,48,The Wilderness (E),2016-07-06,,Dolichopodidae,,f,,
156,49,The Wilderness (E),2016-07-06,,Dolichopodidae,,m,,
156,50,The Wilderness (E),2016-07-06,,Dolichopodidae,,m,,
156,51,The Wilderness (E),2016-07-06,,Dolichopodidae,,m,,
156,52,The Wilderness (E),2016-07-06,,Lauxaniidae,Minettia inusta,f,,
156,53,The Wilderness (E),2016-07-06,,Lauxaniidae,,f,,
156,54,The Wilderness (E),2016-07-06,,Stratiomyidae,Microchrysa sp,f,,
156,55,The Wilderness (E),2016-07-06,,Muscidae,Coenosia sp,f,,
156,56,The Wilderness (E),2016-07-06,,Fanniidae,,m,,
156,57,The Wilderness (E),2016-07-06,,Anthomyiidae,,m,,
156,58,The Wilderness (E),2016-07-06,,Anthomyiidae,,m,,
156,59,The Wilderness (E),2016-07-06,,Rhinophoridae,Rhinophora lepida,m,,
156,60,The Wilderness (E),2016-07-06,,Rhinophoridae,Rhinophora lepida,m,,
156,61,The Wilderness (E),2016-07-06,,Rhinophoridae,Rhinophora lepida,m,,
156,62,The Wilderness (E),2016-07-06,,Rhinophoridae,Rhinophora lepida,m,,
156,63,The Wilderness (E),2016-07-06,,Fanniidae,,f,,
156,64,The Wilderness (E),2016-07-06,,Fanniidae,,m,,
156,65,The Wilderness (E),2016-07-06,,Fanniidae,,f,,
156,66,The Wilderness (E),2016-07-06,,Fanniidae,,f,,
156,67,The Wilderness (E),2016-07-06,,Dolichopodidae,,f,,
156,68,The Wilderness (E),2016-07-06,,Dolichopodidae,,m,,
156,69,The Wilderness (E),2016-07-06,,Opomyzidae,Opomyza sp,f,,
156,70,The Wilderness (E),2016-07-06,,Sphaeroceridae,,,,
156,71,The Wilderness (E),2016-07-06,Hymenoptera,,,,,
