Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
565,1,Whiteknights Park (E),2020-08-12,,Conopidae,,,,Probiscis missing
565,2,Whiteknights Park (E),2020-08-12,Hymenoptera,Ichneumonidae,,f,,
565,3,Whiteknights Park (E),2020-08-12,Hymenoptera,Ichneumonidae,,m,,
565,4,Whiteknights Park (E),2020-08-12,,Muscidae,Helina sp,f,,
565,5,Whiteknights Park (E),2020-08-12,,Anthomyiidae,Delia platura,m,,
565,6,Whiteknights Park (E),2020-08-12,,Anthomyiidae,Anthomyia procellaris grp,m,,
565,7,Whiteknights Park (E),2020-08-12,,Anthomyiidae,Anthomyia sp,m,,
565,8,Whiteknights Park (E),2020-08-12,,Anthomyiidae,,f,,
565,9,Whiteknights Park (E),2020-08-12,,Rhinophoridae,Rhinophora lepida,m,,
565,10,Whiteknights Park (E),2020-08-12,,???,,,,
565,11,Whiteknights Park (E),2020-08-12,,???,,,,
565,12,Whiteknights Park (E),2020-08-12,,???,,,,
