Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
35,1,Field below Chazey Wood,2014-07-27,,Syrphidae,Callicera aurata,f,,
35,2,Field below Chazey Wood,2014-07-27,,Syrphidae,Eristalis sp,f,,
35,3,Field below Chazey Wood,2014-07-27,,Syrphidae,Chrysotoxum sp,f,,
35,4,Field below Chazey Wood,2014-07-27,,Calliphoridae,Bellardia sp,f,,
35,5,Field below Chazey Wood,2014-07-27,,Calliphoridae,Bellardia sp,f,,
35,6,Field below Chazey Wood,2014-07-27,,Syrphidae,Eristalinus sp,f,,
35,7,Field below Chazey Wood,2014-07-27,,Tachinidae,Eurithia consobrina,m,"Belshaw, 1993",
35,8,Field below Chazey Wood,2014-07-27,,Tachinidae,Eurithia anthophila,m,"Belshaw, 1993",
35,9,Field below Chazey Wood,2014-07-27,,Tachinidae,Eurithia anthophila,m,"Belshaw, 1993",
35,10,Field below Chazey Wood,2014-07-27,,Syrphidae,Eristalis sp,m,,
35,11,Field below Chazey Wood,2014-07-27,,Conopidae,Conops sp,,,
35,12,Field below Chazey Wood,2014-07-27,,Syrphidae,???,f,,
35,13,Field below Chazey Wood,2014-07-27,,Tephritidae,,m,,
35,14,Field below Chazey Wood,2014-07-27,,Tephritidae,,f,,
35,15,Field below Chazey Wood,2014-07-27,,Calliphoridae,Bellardia sp,f,,
35,16,Field below Chazey Wood,2014-07-27,,Calliphoridae,Bellardia sp,f,,
35,17,Field below Chazey Wood,2014-07-27,,Calliphoridae,Pollenia sp,f,,
35,18,Field below Chazey Wood,2014-07-27,,Calliphoridae,Lucilia sp,m,,
35,19,Field below Chazey Wood,2014-07-27,,Calliphoridae,Lucilia sp,f,,
35,20,Field below Chazey Wood,2014-07-27,,Muscoidea,,f,,
35,21,Field below Chazey Wood,2014-07-27,,Asilidae,Leptogaster sp,,,
35,22,Field below Chazey Wood,2014-07-27,,Conopidae,Physocephala sp,m,,
35,23,Field below Chazey Wood,2014-07-27,,Calliphoridae,Bellardia sp,m,,
35,24,Field below Chazey Wood,2014-07-27,,Calliphoridae,Bellardia sp,f,,
35,25,Field below Chazey Wood,2014-07-27,,Tachinidae,Eurithia anthophila,m,"Belshaw, 1993",
35,26,Field below Chazey Wood,2014-07-27,,Rhinophoridae,,,,
35,27,Field below Chazey Wood,2014-07-27,,Rhinophoridae,,,,
35,28,Field below Chazey Wood,2014-07-27,,Rhinophoridae,,,,
35,29,Field below Chazey Wood,2014-07-27,,Rhinophoridae,,,,
35,30,Field below Chazey Wood,2014-07-27,,Syrphidae,Melanogaster sp,,,
35,31,Field below Chazey Wood,2014-07-27,,Muscidae,Hydrotaea,m,,
35,32,Field below Chazey Wood,2014-07-27,,Sarcophagidae,Sarcophaga sp,,,
35,33,Field below Chazey Wood,2014-07-27,,Tachinidae,Eurithia anthophila,m,"Belshaw, 1993",
35,34,Field below Chazey Wood,2014-07-27,,Tachinidae,Eriothrix rufomaculata,m,"Belshaw, 1993",
35,35,Field below Chazey Wood,2014-07-27,,Muscidae,Musca sp,m,,
35,36,Field below Chazey Wood,2014-07-27,,Calliphoridae,Pollenia sp,m,,
35,37,Field below Chazey Wood,2014-07-27,,Muscidae,,f,,
35,38,Field below Chazey Wood,2014-07-27,,Syrphidae,Eristalinus sp,m,,
35,39,Field below Chazey Wood,2014-07-27,,Tachinidae,Epicampocera succincta,,"Raper & Smith's update of Belshaw v5c, 2014",
35,40,Field below Chazey Wood,2014-07-27,,Syrphidae,Eristalinus sp,m,,
35,41,Field below Chazey Wood,2014-07-27,,Calliphoridae,Bellardia sp,f,,
35,42,Field below Chazey Wood,2014-07-27,,Syrphidae,Eristalinus sp,f,,
35,43,Field below Chazey Wood,2014-07-27,,Tachinidae,Dexiosoma caninum,,"Belshaw, 1993",
35,44,Field below Chazey Wood,2014-07-27,,Calliphoridae,Bellardia sp,f,,
