Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
184,1,The Wilderness (W),2017-04-08,Mecoptera,Panorpidae,Panorpa sp,m,,
184,2,The Wilderness (W),2017-04-08,,Syrphidae,,f,,
184,3,The Wilderness (W),2017-04-08,,Calliphoridae,Pollenia sp,m,,
184,4,The Wilderness (W),2017-04-08,,Calliphoridae,Pollenia sp,m,,
184,5,The Wilderness (W),2017-04-08,,Calliphoridae,Pollenia sp,m,,
184,6,The Wilderness (W),2017-04-08,,Muscidae,Musca autumnalis,m,,
184,7,The Wilderness (W),2017-04-08,,Muscidae,Musca autumnalis,m,,
184,8,The Wilderness (W),2017-04-08,,Muscidae,Musca autumnalis,m,,
184,9,The Wilderness (W),2017-04-08,,Muscidae,Musca autumnalis,f,,
184,10,The Wilderness (W),2017-04-08,,Anthomyiidae,Leucophora sp,f,,
184,11,The Wilderness (W),2017-04-08,,Muscidae,,m,,
184,12,The Wilderness (W),2017-04-08,,Anthomyiidae,Anthomyia procellaris,m,,
184,13,The Wilderness (W),2017-04-08,,Anthomyiidae,Anthomyia procellaris,m,,
