Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
423,1,The Wilderness (E),2020-04-09,,Bibionidae,Bibio sp,m,,
423,2,The Wilderness (E),2020-04-09,,Bibionidae,Bibio sp,m,,
423,3,The Wilderness (E),2020-04-09,,Bibionidae,Bibio sp,m,,
423,4,The Wilderness (E),2020-04-09,,Bibionidae,Bibio sp,m,,
423,5,The Wilderness (E),2020-04-09,,Bibionidae,Bibio sp,m,,
423,6,The Wilderness (E),2020-04-09,,Bibionidae,Bibio sp,m,,
423,7,The Wilderness (E),2020-04-09,,Chironomidae,,f,,
423,8,The Wilderness (E),2020-04-09,,Tephritidae,Tephritis sp,m,,
423,9,The Wilderness (E),2020-04-09,,Ephydridae,,f,,
423,10,The Wilderness (E),2020-04-09,,Agromyzidae,,f,,
423,11,The Wilderness (E),2020-04-09,,Ephydridae,,,,
423,12,The Wilderness (E),2020-04-09,,Sphaeroceridae,,f,,
423,13,The Wilderness (E),2020-04-09,,Phoridae,,f,,
423,14,The Wilderness (E),2020-04-09,,Phoridae,,f,,
423,15,The Wilderness (E),2020-04-09,,Chloropidae,,,,
