Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
849,1,Thames Valley Park,2021-12-25,,Trichoceridae,,f,,
849,2,Thames Valley Park,2021-12-25,,Muscidae,Lispocephala erythrocera,m,,
849,3,Thames Valley Park,2021-12-25,,Ephydridae,,,,
849,4,Thames Valley Park,2021-12-25,,Lonchopteridae,Lonchoptera sp,m,,
849,5,Thames Valley Park,2021-12-25,,Lonchopteridae,Lonchoptera sp,m,,
849,6,The Wilderness (E),2021-12-26,,Trichoceridae,,m,,
849,7,The Wilderness (E),2021-12-26,,Trichoceridae,,m,,
849,8,The Wilderness (E),2021-12-26,,Dolichopodidae,,m,,
849,9,The Wilderness (E),2021-12-26,,Dolichopodidae,,m,,
849,10,The Wilderness (E),2021-12-26,,Dolichopodidae,,f,,
