Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
82,1,Whiteknights Park (NW),2015-06-19,,Tachinidae,Medina collaris,m,"Belshaw, 1993 +v5c updates",
82,2,Whiteknights Park (NW),2015-06-19,,Conopidae,Sicus ferrugineus,,,
82,3,Whiteknights Park (NW),2015-06-19,,Anthomyiidae,,m,,
82,4,Whiteknights Park (NW),2015-06-19,,Anthomyiidae,,m,,
82,5,Whiteknights Park (NW),2015-06-19,,Syrphidae,Eupeodes sp,f,,
82,6,Whiteknights Park (NW),2015-06-19,,Sciomyzidae,,f,,
82,7,Whiteknights Park (NW),2015-06-19,,Sciomyzidae,,m,,
82,8,Whiteknights Park (NW),2015-06-19,,Stratiomyidae,Chloromyia formosa,f,,
82,9,Whiteknights Park (NW),2015-06-19,,Muscidae,Phaonia fuscata,f,"Fonseca, 1968",
82,10,Whiteknights Park (NW),2015-06-19,,Calliphoridae,Pollenia sp,m,,
82,11,Whiteknights Park (NW),2015-06-19,,Tachinidae,Platymya fimbriata,m,"Belshaw, 1993 +v5c updates",
82,12,Whiteknights Park (NW),2015-06-19,,Sarcophagidae,cf Blaesoxipha plumicornis,m,"Pape, 1987; Family: Oosterbroek, 2006",
82,13,Whiteknights Park (NW),2015-06-19,,Anthomyiidae,,m,,
82,14,Whiteknights Park (NW),2015-06-19,,Anthomyiidae,,m,,
82,15,Whiteknights Park (NW),2015-06-19,,Calliphoridae,Pollenia sp,m,,
82,16,Whiteknights Park (NW),2015-06-19,,Anthomyiidae,,m,,
82,17,Whiteknights Park (NW),2015-06-19,,Psilidae,,f,,
82,18,Whiteknights Park (NW),2015-06-19,,Anthomyiidae,,m,,
82,19,Whiteknights Park (NW),2015-06-19,,Anthomyiidae,,f,,
82,20,Whiteknights Park (NW),2015-06-19,,Muscidae,Helina impuncta,m,"Fonseca, 1968",
82,21,Whiteknights Park (NW),2015-06-19,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
82,22,Whiteknights Park (NW),2015-06-19,,Sarcophagidae,,f,,
82,23,Whiteknights Park (NW),2015-06-19,,Fanniidae,,f,,
82,24,Whiteknights Park (NW),2015-06-19,,Fanniidae,,f,,
82,25,Whiteknights Park (NW),2015-06-19,,Anthomyiidae,,f,,
82,26,Whiteknights Park (NW),2015-06-19,,Lonchaeidae,,f,,
82,27,Whiteknights Park (NW),2015-06-19,,Lauxaniidae,,f,,
82,28,Whiteknights Park (NW),2015-06-19,,Lauxaniidae,,f,,
82,29,Whiteknights Park (NW),2015-06-19,,Lauxaniidae,Minettia longipennis,f,,
82,30,Whiteknights Park (NW),2015-06-19,,Empididae,Empis lutea,f,,
82,31,Whiteknights Park (NW),2015-06-19,,Dolichopodidae,,m,,
82,32,Whiteknights Park (E-FH),2015-06-19,,Stratiomyidae,Oplodontha viridula,m,,
82,33,Whiteknights Park (E-FH),2015-06-19,,Scathophagidae,,m,,
82,34,Whiteknights Park (E-FH),2015-06-19,,Anthomyiidae,,f,,
82,35,Whiteknights Park (E-FH),2015-06-19,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
82,36,Whiteknights Park (E-FH),2015-06-19,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
82,37,Whiteknights Park (E-FH),2015-06-19,,Anthomyiidae,,m,,
82,38,Whiteknights Park (E-FH),2015-06-19,,Lonchopteridae,Lonchoptera sp,f,,
82,39,Whiteknights Park (E-FH),2015-06-19,,Empididae,Empis sp,m,,
82,40,Whiteknights Park (E-FH),2015-06-19,,Empididae,Empis sp,m,,
82,41,Whiteknights Park (E-FH),2015-06-19,,Sciomyzidae,,f,,
82,42,Whiteknights Park (E-FH),2015-06-19,,Calliphoridae,Pollenia sp,f,,
82,43,Whiteknights Park (E-FH),2015-06-19,,Muscidae,Helina evecta,m,"Fonseca, 1968",As Helina laetifica
82,44,Whiteknights Park (W),2015-06-26,,Syrphidae,Anasimyia lineata,f,,
82,45,Whiteknights Park (W),2015-06-26,,Calliphoridae,Pollenia sp,m,,
82,46,Whiteknights Park (W),2015-06-26,,Muscidae,Helina reversio,f,"Fonseca, 1968",As Helina communis
82,47,Whiteknights Park (W),2015-06-26,,Anthomyiidae,,m,,
82,48,The Wilderness (W),2015-06-26,,Tachinidae,Dufouria chalybeata,f,"Belshaw, 1993 +v5c updates",
82,49,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea albipuncta,f,"Fonseca, 1968",
82,50,The Wilderness (W),2015-06-26,,Muscidae,Limnophora triangula,m,"Fonseca, 1968",
82,51,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea albipuncta,f,"Fonseca, 1968",Wings damaged
82,52,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea albipuncta,f,"Fonseca, 1968",Wings damaged
82,53,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea albipuncta,f,"Fonseca, 1968",Wings damaged
82,54,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea albipuncta,f,"Fonseca, 1968",
82,55,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea albipuncta,f,"Fonseca, 1968",
82,56,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea albipuncta,f,"Fonseca, 1968",
82,57,The Wilderness (W),2015-06-26,,Muscidae,Limnophora triangula,f,"Fonseca, 1968",
82,58,The Wilderness (W),2015-06-26,,Anthomyiidae,,m,,
82,59,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea militaris,f,"Fonseca, 1968",
82,60,The Wilderness (W),2015-06-26,,Muscidae,Hydrotaea dentipes,f,"Fonseca, 1968",
