,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
296,1,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,2,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,3,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,4,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,5,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,6,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,7,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,8,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,9,Whiteknights Park (E-FH),2018-08-11,,Ephydridae,,,,
296,10,Whiteknights Park (E-FH),2018-08-11,,Sphaeroceridae,,,,
296,11,Whiteknights Park (E-FH),2018-08-11,,Sphaeroceridae,,,,
296,12,Whiteknights Park (E-FH),2018-08-11,,Chironomidae,,m,,
296,13,The Wilderness (W),20018-08-18,Mecoptera,Panorpidae,Panorpa germanica,f,"Fraser, 1959",
296,14,The Wilderness (W),20018-08-18,,Sarcophagidae,Sarcophaga sp,m,,
296,15,The Wilderness (W),20018-08-18,,Sarcophagidae,Sarcophaga sp,m,,
296,16,The Wilderness (W),20018-08-18,,Calliphoridae,Pollenia rudis,m,"Rognes, 1991",
296,17,The Wilderness (W),20018-08-18,,Calliphoridae,Pollenia labialis,m,"Rognes, 1991",
296,18,The Wilderness (W),20018-08-18,,Calliphoridae,Pollenia labialis,m,"Rognes, 1991",
296,19,The Wilderness (W),20018-08-18,,Calliphoridae,Pollenia rudis,f,"Rognes, 1991",
296,20,The Wilderness (W),20018-08-18,,Calliphoridae,Pollenia pediculata,m,"Rognes, 1991",
296,21,The Wilderness (W),20018-08-18,,Calliphoridae,Lucilia caesar,m,"Rognes, 1991",
296,22,The Wilderness (W),20018-08-18,,Muscidae,Helina quadrum,f,"Fonseca, 1968",
296,23,The Wilderness (W),20018-08-18,,Muscidae,Phaonia tuguriorum,f,"Fonseca, 1968",As Phaonia signata
296,24,The Wilderness (W),20018-08-18,,Muscidae,Phaonia rufiventris,f,"Fonseca, 1968",As Phaonia populi
296,25,The Wilderness (W),20018-08-18,,Anthomyiidae,,m,,
296,26,The Wilderness (W),20018-08-18,,Dolichopodidae,,f,,
296,27,The Wilderness (W),20018-08-18,,Dolichopodidae,,m,,
296,28,The Wilderness (W),20018-08-18,,Dolichopodidae,,m,,
296,29,The Wilderness (W),20018-08-18,,Dolichopodidae,,f,,
296,30,The Wilderness (W),20018-08-18,,Dolichopodidae,,f,,
296,31,The Wilderness (W),20018-08-18,,Syrphidae,,,,
296,32,The Wilderness (W),20018-08-18,,Fanniidae,,f,,
296,33,The Wilderness (W),20018-08-18,,Muscidae,Hebecnema vespertina,f,"Fonseca, 1968; Pont, 1984",As Hebecnema affinis; Halteres yellow
296,34,The Wilderness (W),20018-08-18,,Muscidae,Hebecnema vespertina,f,"Fonseca, 1968; Pont, 1984",As Hebecnema affinis; Halteres yellow
296,35,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,36,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,37,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,38,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,39,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,40,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,41,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,42,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,43,The Wilderness (W),20018-08-18,,Anthomyiidae,,f,,
296,44,The Wilderness (W),20018-08-18,,Muscidae,Coenosia infantula,f,"Fonseca, 1968",
296,45,The Wilderness (W),20018-08-18,,Agromyzidae,,,,
296,46,The Wilderness (W),20018-08-18,,Mycetophilidae,,f,,
296,47,The Wilderness (W),20018-08-18,,Lauxaniidae,Minettia sp,m,,
296,48,The Wilderness (W),20018-08-18,,Lauxaniidae,Minettia longipennis,,,
296,49,The Wilderness (W),20018-08-18,,Opomyzidae,Opomyza germinationis,m,"Drake, 1993",
296,50,The Wilderness (W),20018-08-18,,Opomyzidae,Opomyza petrei,f,"Drake, 1993",
296,51,The Wilderness (W),20018-08-18,,Opomyzidae,Opomyza germinationis,m,"Drake, 1993",
296,52,The Wilderness (W),20018-08-18,,Opomyzidae,Opomyza germinationis,f,"Drake, 1993",
296,53,The Wilderness (W),20018-08-18,,Opomyzidae,Opomyza petrei,m,"Drake, 1993",
296,54,The Wilderness (W),20018-08-18,,Lonchopteridae,Lonchoptera lutea,m,"Smith, 1969",
