Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
827,1,Whiteknights Park (W),2021-10-25,,Sarcophagidae,Sarcophaga sp,m,,
827,2,Whiteknights Park (W),2021-10-25,,Calliphoridae,Cynomya morturorum,f,,
827,3,Whiteknights Park (W),2021-10-25,,Calliphoridae,Lucilia sp,m,,
827,4,Whiteknights Park (W),2021-10-25,,Calliphoridae,Lucilia sp,f,,
827,5,Whiteknights Park (W),2021-10-25,,Tachinidae,Ramonda spathulata,f,"Belshaw, 1993 +v5c updates",
827,6,Whiteknights Park (W),2021-10-25,,Tachinidae,Eumea linearicornis,f,"Belshaw, 1993 +v5c updates",
827,7,Whiteknights Park (W),2021-10-25,,Tachinidae,Pales pavida,f,"Belshaw, 1993 +v5c updates",
827,8,Whiteknights Park (W),2021-10-25,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
827,9,Whiteknights Park (W),2021-10-25,,Tachinidae,Eumea linearicornis,f,"Belshaw, 1993 +v5c updates",
827,10,Whiteknights Park (W),2021-10-25,,Tachinidae,Pales pavida,f,"Belshaw, 1993 +v5c updates",
827,11,Whiteknights Park (W),2021-10-25,,Muscidae,Muscina prolapsa,f,,
827,12,Whiteknights Park (W),2021-10-25,,Muscidae,Eudasyphora cyanicolor,f,,
827,13,Whiteknights Park (W),2021-10-25,,Muscidae,Phaonia sp,m,,
827,14,Whiteknights Park (W),2021-10-25,,Muscidae,Helina evecta,f,,
827,15,Whiteknights Park (W),2021-10-25,,Muscidae,Helina evecta,f,,
827,16,Whiteknights Park (E),2021-10-26,,Tachinidae,Macquartia grisea,f,"Belshaw, 1993 +v5c updates",
827,17,Whiteknights Park (E),2021-10-26,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
827,18,Whiteknights Park (E),2021-10-26,,Tachinidae,Ramonda spathulata,f,"Belshaw, 1993 +v5c updates",
827,19,Whiteknights Park (E),2021-10-26,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
827,20,Whiteknights Park (E),2021-10-26,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
827,21,Whiteknights Park (E),2021-10-26,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
827,22,Whiteknights Park (E),2021-10-26,,Muscidae,Muscina levida,m,,
827,23,Whiteknights Park (E),2021-10-26,,Muscidae,Phaonia sp,m,,
827,24,Whiteknights Park (E),2021-10-26,,Muscidae,Helina evecta,f,,
827,25,Whiteknights Park (E),2021-10-26,,Muscidae,Phaonia subventa,f,,
827,26,Whiteknights Park (E),2021-10-26,,Scathophagidae,Scathophaga stercoraria,m,,
827,27,Whiteknights Park (E),2021-10-26,,Calliphoridae,Pollenia sp,m,,
827,28,Whiteknights Park (E),2021-10-26,,Anthomyiidae,Hylemya sp,m,,
827,29,Whiteknights Park (E),2021-10-26,,Anthomyiidae,,m,,
827,30,Whiteknights Park (E),2021-10-26,,Anthomyiidae,Pegomya sp,f,,
827,31,Whiteknights Park (E),2021-10-26,,Sphaeroceridae,,m,,
827,32,Whiteknights Park (E),2021-10-26,Hymenoptera,Cynipidae,,f,,
827,33,Whiteknights Park (W),2021-10-27,,Tephritidae,Euleia heraclei,f,,
827,34,Whiteknights Park (W),2021-10-27,,Sciomyzidae,Pherbellia sp,f,,
827,35,Whiteknights Park (W),2021-10-27,,Muscidae,Neomyia sp,m,,
827,36,Whiteknights Park (W),2021-10-27,,Heleomyzidae,,f,,
827,37,Whiteknights Park (W),2021-10-27,,Tachinidae,Sturmia bella,f,"Belshaw, 1993 +v5c updates",
