Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
746,1,Whiteknights Park (W),2021-07-09,,Asilidae,Leptogaster sp,f,,
746,2,Whiteknights Park (W),2021-07-09,,Asilidae,Machimus sp,f,,
746,3,Whiteknights Park (W),2021-07-09,,Tachinidae,Pales pavida,f,,
746,4,Whiteknights Park (W),2021-07-09,,Sarcophagidae,Sarcophaga sp,m,,
746,5,Whiteknights Park (W),2021-07-09,,Sarcophagidae,Sarcophaga incisilobata,m,,
746,6,Whiteknights Park (W),2021-07-09,,Sarcophagidae,Sarcophaga sp,m,,
746,7,Whiteknights Park (W),2021-07-09,,Sarcophagidae,Sarcophaga incisilobata,m,,
746,8,Whiteknights Park (W),2021-07-09,,Calliphoridae,Pollenia sp,m,,
746,9,Whiteknights Park (W),2021-07-09,,Calliphoridae,Pollenia sp,m,,
746,10,Whiteknights Park (W),2021-07-09,,Calliphoridae,Pollenia sp,m,,
746,11,Whiteknights Park (W),2021-07-09,,Muscidae,Helina sp,f,,
746,12,Whiteknights Park (W),2021-07-09,,Muscidae,Helina sp,f,,
746,13,Whiteknights Park (W),2021-07-09,,Dolichopodidae,,m,,
746,14,Whiteknights Park (W),2021-07-09,,Tachinidae,,m,,
746,15,Whiteknights Park (W),2021-07-09,,Muscidae,Coenosia sp,f,,
746,16,Whiteknights Park (W),2021-07-09,,Muscidae,Coenosia sp,m,,
746,17,Whiteknights Park (W),2021-07-09,,Drosophilidae,Scaptomyza sp,,,
746,18,Whiteknights Park (W),2021-07-09,,Chloropidae,,f,,
746,19,Whiteknights Park (W),2021-07-09,,Chloropidae,,f,,
746,20,Whiteknights Park (W),2021-07-09,,Chloropidae,,f,,
