Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
831,1,Whiteknights Park (E),2021-11-01,,Muscidae,Polietes lardarius,f,,
831,2,Whiteknights Park (E),2021-11-01,,Calliphoridae,Calliphora vicina,f,"Rognes, 199",
831,3,Whiteknights Park (E),2021-11-01,,Calliphoridae,Calliphora vicina,f,"Rognes, 199",
831,4,Whiteknights Park (E),2021-11-01,,Calliphoridae,Calliphora vicina,m,"Rognes, 199",
831,5,Whiteknights Park (E),2021-11-01,,Calliphoridae,Eggisops pecchiolii,m,"Rognes, 199",
831,6,Whiteknights Park (E),2021-11-01,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
831,7,Whiteknights Park (E),2021-11-01,,Tachinidae,Ramonda spathulata,f,"Belshaw, 1993 +v5c updates",
831,8,Whiteknights Park (E),2021-11-01,,Tachinidae,Voria ruralis,m,"Belshaw, 1993 +v5c updates",
831,9,Whiteknights Park (E),2021-11-01,,Muscidae,Muscina levida,m,"Fonseca, 1968",
831,10,Whiteknights Park (E),2021-11-01,,Muscidae,Helina sp,f,,Hind and left mid legs missing
831,11,Whiteknights Park (E),2021-11-01,,Muscidae,Helina sp,f,,
831,12,Whiteknights Park (E),2021-11-01,,Muscidae,Helina sp,f,,Antennae missing
831,13,Whiteknights Park (E),2021-11-01,,Anthomyiidae,Mycophaga testacea,f,,
831,14,Whiteknights Park (E),2021-11-01,,Muscidae,Phaonia subventa,f,,
831,15,Whiteknights Park (E),2021-11-01,,Muscidae,Helina evecta,f,,
831,16,Whiteknights Park (E),2021-11-01,,Anthomyiidae,Hylemya sp,f,,Antennae missing
831,17,Whiteknights Park (E),2021-11-01,,Sarcophagidae,Sarcophaga sp,m,,
831,18,Whiteknights Park (E),2021-11-01,,Sarcophagidae,Sarcophaga sp,m,,
831,19,Whiteknights Park (E),2021-11-01,,Muscidae,Stomoxys calcitrans,f,"Fonseca, 1968",
831,20,Whiteknights Park (E),2021-11-02,,Muscidae,Polietes meridionalis,f,,
831,21,Whiteknights Park (E),2021-11-02,,Tachinidae,Pales pavida,f,"Belshaw, 1993 +v5c updates",
831,22,Whiteknights Park (E),2021-11-02,,Tachinidae,Pales pavida,f,"Belshaw, 1993 +v5c updates",
831,23,Whiteknights Park (E),2021-11-02,,Calliphoridae,Calliphora vicina,f,,
831,24,Whiteknights Park (E),2021-11-02,,Calliphoridae,Calliphora vicina,f,,
831,25,Whiteknights Park (E),2021-11-02,,Calliphoridae,Calliphora vicina,m,,
831,26,Whiteknights Park (E),2021-11-02,,Calliphoridae,Calliphora vicina,m,,
831,27,Whiteknights Park (E),2021-11-02,,Muscidae,Helina evecta,f,,
831,28,Whiteknights Park (E),2021-11-02,,Muscidae,Helina evecta,m,,
831,29,Whiteknights Park (E),2021-11-02,,Muscidae,Helina evecta,f,,
831,30,Whiteknights Park (E),2021-11-02,,Muscidae,Helina evecta,f,,
831,31,Whiteknights Park (E),2021-11-02,,Muscidae,Coenosia tigrina,f,,
