Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
20,1,Whiteknights Park (E),2014-05-31,,Rhagionidae,Rhagio sp,m,,
20,2,Whiteknights Park (E),2014-05-31,,Rhagionidae,Rhagio sp,m,,
20,3,Whiteknights Park (E),2014-05-31,,Asilidae,Dioctria atricapilla,f,"Stubbs & Drake, 2001",
20,4,Whiteknights Park (E),2014-05-31,,Muscidae,Phaonia tuguriorum,f,"Fonseca, 1968",As Phaonia signata
20,5,Whiteknights Park (E),2014-05-31,,Calliphoridae,Lucilia caesar,m,"Rognes, 1991",Blue-green
20,6,Whiteknights Park (E),2014-05-31,,Anthomyiidae,,m,,
20,7,Whiteknights Park (E),2014-05-31,,Tachinidae,Meigenia sp,f,"Belshaw, 1993 +v5c updates",
20,8,Whiteknights Park (E),2014-05-31,,Calliphoridae,Calliphora vicina,f,"Rognes, 1991",
20,9,Whiteknights Park (E),2014-05-31,,Anthomyiidae,,f,,
20,10,Whiteknights Park (E),2014-05-31,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
20,11,Whiteknights Park (E),2014-05-31,,Syrphidae,,m,,
20,12,Whiteknights Park (W),2014-06-01,,Muscidae,Helina evecta,m,"Fonseca, 1968",As Helina laetifica
20,13,Whiteknights Park (W),2014-06-01,,Muscidae,Helina evecta,m,"Fonseca, 1968",As Helina laetifica
20,14,Whiteknights Park (W),2014-06-01,,Tachinidae,Exorista rustica,m,"Belshaw, 1993 +v5c updates",
20,15,Whiteknights Park (W),2014-06-01,,Tachinidae,Exorista rustica,m,"Belshaw, 1993 +v5c updates",
20,16,Whiteknights Park (W),2014-06-01,,Stratiomyidae,Chloromyia formosa,m,,
20,17,Whiteknights Park (W),2014-06-01,,Heleomyzidae,Suillia variegata,,,
20,18,Whiteknights Park (W),2014-06-01,,Syrphidae,,f,,
20,19,Whiteknights Park (W),2014-06-01,,Syrphidae,,f,,
20,20,Whiteknights Park (W),2014-06-01,,Syrphidae,,f,,
20,21,Whiteknights Park (W),2014-06-01,,Syrphidae,Cheilosia sp,f,,
20,22,Whiteknights Park (W),2014-06-01,,Rhagionidae,Chrysopilus cristatus,m,,
20,23,Whiteknights Park (W),2014-06-01,,Syrphidae,Anasimyia lineata,,,
20,24,Whiteknights Park (W),2014-06-07,,Tachinidae,Phasia hemiptera,m,"Belshaw, 1993 +v5c updates",
20,25,Whiteknights Park (W),2014-06-07,,Tachinidae,Phasia hemiptera,f,"Belshaw, 1993 +v5c updates",
20,26,Whiteknights Park (W),2014-06-07,,Syrphidae,Merodon equestris,,,
20,27,Whiteknights Park (W),2014-06-07,,Syrphidae,Merodon equestris,,,
20,28,Whiteknights Park (W),2014-06-07,,Syrphidae,Merodon equestris,,,
20,29,Whiteknights Park (W),2014-06-07,,Syrphidae,Eristalis sp,m,,
20,30,Whiteknights Park (W),2014-06-07,,Syrphidae,Eristalis sp,m,,
20,31,Whiteknights Park (W),2014-06-07,,Syrphidae,Helophilus pendulus,,,
20,32,Whiteknights Park (W),2014-06-07,,Syrphidae,Myathropa florea,m,,
20,33,Whiteknights Park (W),2014-06-07,,Syrphidae,,m,,
20,34,Whiteknights Park (W),2014-06-07,,Syrphidae,Parhelophilus sp,,,
20,35,Whiteknights Park (W),2014-06-07,,Syrphidae,,f,,
20,36,Whiteknights Park (W),2014-06-07,,Syrphidae,Anasimyia lineata,f,,
20,37,Whiteknights Park (W),2014-06-07,,Syrphidae,Leucozona lucorum,f,,
20,38,Whiteknights Park (W),2014-06-07,,Syrphidae,,,,
20,39,Whiteknights Park (W),2014-06-07,,Syrphidae,,,,
