Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
167,1,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga carnaria grp,m,"Pape, 1987",
167,2,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga variegata,m,"Pape, 1987",
167,3,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga sp,f,"Pape, 1987",
167,4,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga sp,f,"Pape, 1987",
167,5,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga sp,f,"Pape, 1987",
167,6,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga sp,f,"Pape, 1987",
167,7,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga sp,f,"Pape, 1987",
167,8,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Muscina prolapsa,f,"Fonseca, 1968",As Muscina pabulorum
167,9,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga sp,f,"Pape, 1987",
167,10,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga sp,f,"Pape, 1987",
167,11,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga haemorrhoa,m,"Pape, 1987",As Heteronychia haemorrhoa
167,12,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga haemorrhoa,m,"Pape, 1987",As Heteronychia haemorrhoa
167,13,Whiteknights Park (E-FH),2016-08-13,,Calliphoridae,Lucilia sericata,m,"Rognes, 1991",12+13 in cop
167,14,Whiteknights Park (E-FH),2016-08-13,,Calliphoridae,Lucilia sericata,f,"Rognes, 1991",12+13 in cop
167,15,Whiteknights Park (E-FH),2016-08-13,,Calliphoridae,Lucilia sericata,f,"Rognes, 1991",
167,16,Whiteknights Park (E-FH),2016-08-13,,Calliphoridae,Lucilia sericata,m,"Rognes, 1991",
167,17,Whiteknights Park (E-FH),2016-08-13,,Tachinidae,Eriothrix rufomaculata,m,"Belshaw, 1993 +v5c updates",
167,18,Whiteknights Park (E-FH),2016-08-13,,Tachinidae,Eriothrix rufomaculata,m,"Belshaw, 1993 +v5c updates",
167,19,Whiteknights Park (E-FH),2016-08-13,,Tachinidae,Eriothrix rufomaculata,m,"Belshaw, 1993 +v5c updates",
167,20,Whiteknights Park (E-FH),2016-08-13,,Tachinidae,Eriothrix rufomaculata,m,"Belshaw, 1993 +v5c updates",
167,21,Whiteknights Park (E-FH),2016-08-13,,Tachinidae,Eriothrix rufomaculata,m,"Belshaw, 1993 +v5c updates",
167,22,Whiteknights Park (E-FH),2016-08-13,,Calliphoridae,Pollenia pediculata,f,"Rognes, 1991",
167,23,Whiteknights Park (E-FH),2016-08-13,Hymenoptera,Vespidae,Ancistrocerus parietum,f,"Archer, 2014",
167,24,Whiteknights Park (E-FH),2016-08-13,,Conopidae,Conops quadrifasciatus,f,"Clements, 1995",
167,25,Whiteknights Park (E-FH),2016-08-13,,Syrphidae,Anasimyia lineata,f,,
167,26,Whiteknights Park (E-FH),2016-08-13,,Tachinidae,Exorista cf rustica,m,"Belshaw, 1993 +v5c updates",
167,27,Whiteknights Park (E-FH),2016-08-13,,Tachinidae,Exorista cf rustica,m,"Belshaw, 1993 +v5c updates",
167,28,Whiteknights Park (E-FH),2016-08-13,,Calliphoridae,Pollenia augustigena,m,"Rognes, 1991",
167,29,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga incisilobata,m,"Pape, 1987",As Thyrsocnema incisilobata
167,30,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga nigriventris,m,"Pape, 1987",As Pierretia nigriventris
167,31,Whiteknights Park (E-FH),2016-08-13,,Sarcophagidae,Sarcophaga cf nigriventris,m,"Pape, 1987",As Pierretia nigriventris
167,32,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
167,33,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
167,34,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
167,35,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
167,36,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
167,37,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,m,"Fonseca, 1968",As Caricea tigrina
167,38,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
167,39,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,m,"Fonseca, 1968",As Caricea tigrina
167,40,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,m,"Fonseca, 1968",As Caricea tigrina
167,41,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
167,42,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,f,"Fonseca, 1968",As Caricea tigrina
167,43,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,m,"Fonseca, 1968",As Caricea tigrina
167,44,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia tigrina,m,"Fonseca, 1968",As Caricea tigrina
167,45,Whiteknights Park (E-FH),2016-08-13,,Anthomyiidae,,f,,
167,46,Whiteknights Park (E-FH),2016-08-13,,Anthomyiidae,Pegomya sp,m,"Ackland et al draft keys, 2017",Needs relaxing
167,47,Whiteknights Park (E-FH),2016-08-13,,Anthomyiidae,Anthomyia procellaris,m,"Ackland draft keys, 2012 & 2015",Needs relaxing
167,48,Whiteknights Park (E-FH),2016-08-13,,Anthomyiidae,,f,,
167,49,Whiteknights Park (E-FH),2016-08-13,,Anthomyiidae,Pegoplata infirma,m,"Ackland et al draft keys, 2017",Needs relaxing
167,50,Whiteknights Park (E-FH),2016-08-13,,Anthomyiidae,,f,,
167,51,Whiteknights Park (E-FH),2016-08-13,,Anthomyiidae,Delia platura,m,"Ackland et al draft keys, 2017",Needs relaxing
167,52,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Coenosia intermedia,f,"Fonseca, 1968",
167,53,Whiteknights Park (E-FH),2016-08-13,,Muscidae,Hebecnema vespertina,m,"Fonseca, 1968",As Hebecnema affinis; Halteres yellow; Wings darkened; Hind tibiae have 2 anteroventral bristles
