Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
188,1,The Wilderness (E),2017-04-22,,Scathophagidae,Scathophaga furcata,m,"Ball, 2014",
188,2,The Wilderness (E),2017-04-22,,Scathophagidae,Scathophaga furcata,m,"Ball, 2014",
188,3,The Wilderness (E),2017-04-22,,Scathophagidae,Scathophaga furcata,f,"Ball, 2014",
188,4,The Wilderness (E),2017-04-22,,Scathophagidae,Scathophaga furcata,m,"Ball, 2014",
188,5,The Wilderness (E),2017-04-22,,Scathophagidae,Scathophaga furcata,f,"Ball, 2014",
188,6,The Wilderness (E),2017-04-22,,Scathophagidae,Nanna fasciata,m,"Ball, 2014",
188,7,The Wilderness (E),2017-04-22,,Scathophagidae,Nanna fasciata,m,"Ball, 2014",
188,8,The Wilderness (E),2017-04-22,,Muscidae,Phaonia subventa,m,"Fonseca, 1968",As Phaonia variegata
188,9,The Wilderness (E),2017-04-22,,Muscidae,Phaonia subventa,m,"Fonseca, 1968",As Phaonia variegata
188,10,The Wilderness (E),2017-04-22,,Muscidae,Phaonia errans,m,"Fonseca, 1968",
188,11,The Wilderness (E),2017-04-22,,Muscidae,Phaonia errans,m,"Fonseca, 1968",
188,12,The Wilderness (E),2017-04-22,,Muscidae,Phaonia errans,m,"Fonseca, 1968",
188,13,The Wilderness (E),2017-04-22,,Muscidae,Helina pertusa,f,"Fonseca, 1968",
188,14,The Wilderness (E),2017-04-22,,Muscidae,Phaonia subventa,m,"Fonseca, 1968",As Phaonia variegata
188,15,The Wilderness (E),2017-04-22,,Fanniidae,Fannia lustrator,m,"Rozkosny et al, 1997",
188,16,The Wilderness (E),2017-04-22,,Muscidae,Phaonia errans,f,"Fonseca, 1968",
188,17,The Wilderness (E),2017-04-22,,Fanniidae,Fannia lustrator,m,"Rozkosny et al, 1997",
188,18,The Wilderness (E),2017-04-22,,Muscidae,Helina evecta,f,"Fonseca, 1968",As Helina laetifica
188,19,The Wilderness (E),2017-04-22,,Muscidae,Phaonia palpata,m,"Fonseca, 1968",
188,20,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,21,The Wilderness (E),2017-04-22,,Muscidae,Phaonia tuguriorum,f,"Fonseca, 1968",As Phaonia signata
188,22,The Wilderness (E),2017-04-22,,Muscidae,Phaonia subventa,m,"Fonseca, 1968",As Phaonia variegata
188,23,The Wilderness (E),2017-04-22,,Fanniidae,Fannia lustrator,f,"Rozkosny et al, 1997",
188,24,The Wilderness (E),2017-04-22,,Fanniidae,Fannia lustrator,f,"Rozkosny et al, 1997",
188,25,The Wilderness (E),2017-04-22,,Calliphoridae,Lucilia illustris,m,"Rognes, 1991",Teneral; Blue
188,26,The Wilderness (E),2017-04-22,,Anthomyiidae,,m,,
188,27,The Wilderness (E),2017-04-22,,Muscidae,Phaonia palpata,m,"Fonseca, 1968",
188,28,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,29,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,30,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,31,The Wilderness (E),2017-04-22,,Fanniidae,Fannia lustrator,f,"Rozkosny et al, 1997",
188,32,The Wilderness (E),2017-04-22,,Muscidae,Thricops semicinereus,m,"Fonseca, 1968",
188,33,The Wilderness (E),2017-04-22,,Fanniidae,Fannia sp,m,,
188,34,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,35,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,36,The Wilderness (E),2017-04-22,,Anthomyiidae,,m,,
188,37,The Wilderness (E),2017-04-22,,Muscidae,Lispocephala alma,f,"Fonseca, 1968",
188,38,The Wilderness (E),2017-04-22,,Muscidae,Lispocephala alma,m,"Fonseca, 1968",
188,39,The Wilderness (E),2017-04-22,,Anthomyiidae,Anthomyia procellaris,m,"Ackland draft keys, 2012 & 2015",
188,40,The Wilderness (E),2017-04-22,,Anthomyiidae,Anthomyia procellaris,m,"Ackland draft keys, 2012 & 2015",
188,41,The Wilderness (E),2017-04-22,,Anthomyiidae,Anthomyia cf procellaris,f,,
188,42,The Wilderness (E),2017-04-22,,Anthomyiidae,Anthomyia procellaris,m,"Ackland draft keys, 2012 & 2015",
188,43,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,44,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,45,The Wilderness (E),2017-04-22,,Anthomyiidae,Anthomyia procellaris,m,"Ackland draft keys, 2012 & 2015",
188,46,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,47,The Wilderness (E),2017-04-22,,Muscidae,Phaonia palpata,f,"Fonseca, 1968",
188,48,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,49,The Wilderness (E),2017-04-22,,Fanniidae,,f,,
188,50,The Wilderness (E),2017-04-22,,Anthomyiidae,,m,,
188,51,The Wilderness (E),2017-04-22,,Anthomyiidae,Anthomyia plurinotata,m,"van Erkelans, 2011",
188,52,The Wilderness (E),2017-04-22,,Anthomyiidae,,f,,
188,53,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,54,The Wilderness (E),2017-04-22,,Dolichopodidae,,m,,
188,55,The Wilderness (E),2017-04-22,,Dolichopodidae,,m,,
188,56,The Wilderness (E),2017-04-22,,Dolichopodidae,,f,,
188,57,The Wilderness (E),2017-04-22,,Dolichopodidae,,m,,
188,58,The Wilderness (E),2017-04-22,,Muscidae,Coenosia agromyzina,f,"Fonseca, 1968",As Allognota agromyzina
188,59,The Wilderness (E),2017-04-22,,Muscidae,Coenosia agromyzina,f,"Fonseca, 1968",As Allognota agromyzina
188,60,The Wilderness (E),2017-04-22,,Muscidae,Coenosia agromyzina,f,"Fonseca, 1968",As Allognota agromyzina
188,61,The Wilderness (E),2017-04-22,,Muscidae,Coenosia agromyzina,m,"Fonseca, 1968",As Allognota agromyzina
188,62,The Wilderness (E),2017-04-22,,Fanniidae,,f,,
188,63,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,64,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,65,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,66,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,67,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,68,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,69,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,70,The Wilderness (E),2017-04-22,,Fanniidae,,m,,
188,71,The Wilderness (E),2017-04-22,,Fanniidae,,f,,
